carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce,plateau_capacity_mAh_g,carbonization_time_h,heating_rate_C_min,pore_volume_cm3_g,lc_nm,la_nm,record_id,doi,material_name,category,electrolyte_text,reversible_capacity_mAh_g,mapping_method,mapping_found
1300.0,0.3796,1.53,35.526,0,20.0,0.7288,0.9885427898795082,157.28,2.0,5.0,,,1.45,,Flaky N-doped hard carbon anode material for sodium-ion batteries,PFNC-1300,酯类, 1mol l-1 NaPF6 in diethyl-carbonate (DEC) : ethylene-carbonate (EC) (1:1 in volume) ,315.5,primary_exact,True
1400.0,0.364,1.235,69.0,1,50.0,0.816,1.489478597355121,166.48,2.0,5.0,,,,185.0,Flexible carbon nanofibers with multichannel and porous structure as freestanding anode for excellent sodium storage,PCNF-1,醚类,1 M NaPF6 dissolved in diglyme,285.5,primary_exact,True
1400.0,0.362,1.224,68.2,1,50.0,0.826,1.5575394743064488,164.8,2.0,5.0,,,,,Flexible carbon nanofibers with multichannel and porous structure as freestanding anode for excellent sodium storage,PCNF-2,醚类,1 M NaPF6 dissolved in diglyme,292.3,primary_exact,True
1100.0,0.387,2.1,29.32,0,30.0,0.66,0.6632942174102643,87.36,4.0,5.0,0.0434,,,,Flexible Precursor Modulation toward Selective Heteroatom Doping in a Hard-Carbon Anode for Sodium-Ion Batteries,N/S HC,酯类,"1 M NaPF6 was dissolved in ethylene carbonate (EC) and di EC (DEC) solvents in a volume ratio of 1:1, and 5% fluoro EC (FEC) additives",290.0,primary_exact,True
1200.0,0.38,2.1,2.3,0,30.0,0.8640000000000001,1.8489178830680049,209.3,2.0,,,,,,Hard carbon anodes derived from phenolic resin/sucrose cross-linking network for high-performance sodium-ion batteries,PF-S-55-1200,酯类,1 M NaClO4 dissolved in ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1 by volume),323.0,primary_exact,True
700.0,0.37,1.02,161.2,0,100.0,0.552,0.2087548138621103,0.0,2.0,2.0,0.0921,,,217.0,High Proportion of Active Nitrogen-Doped Hard Carbon Based on Mannich Reaction as Anode Material for High-Performance Sodium-Ion Batteries,PTA-Lys-700,酯类,1 M NaClO4 in EC and DMC (1 : 1 in volume) ,278.1,primary_exact,True
800.0,0.39,1.03,189.7,0,100.0,0.513,0.0520117220881797,0.0,2.0,2.0,0.2954,,,,High Proportion of Active Nitrogen-Doped Hard Carbon Based on Mannich Reaction as Anode Material for High-Performance Sodium-Ion Batteries,PTA-Lys-800,酯类,1 M NaClO4 in EC and DMC (1 : 1 in volume) ,367.2,primary_exact,True
900.0,0.41,1.05,192.8,0,100.0,0.5379999999999999,0.1522936690800451,0.0,2.0,2.0,0.1224,,,,High Proportion of Active Nitrogen-Doped Hard Carbon Based on Mannich Reaction as Anode Material for High-Performance Sodium-Ion Batteries,PTA-Lys-900,酯类,1 M NaClO4 in EC and DMC (1 : 1 in volume) ,318.3,primary_exact,True
700.0,0.3863,1.53,290.0,0,25.0,0.5,0.0,0.0,2.0,5.0,,2.02,2.13,227.0,Insights into the electrochemical properties of bagasse-derived hard carbon anode materials for sodium-ion battery,SW700,酯类,1 M NaClO4 salt dissolved in solvent EC: DEC (1:1 volume ratio),211.0,primary_exact,True
900.0,0.3809,1.42,255.0,0,25.0,0.57,0.2818511521409875,106.23,2.0,5.0,,2.19,3.25,,Insights into the electrochemical properties of bagasse-derived hard carbon anode materials for sodium-ion battery,SW900,酯类,1 M NaClO4 salt dissolved in solvent EC: DEC (1:1 volume ratio),284.0,primary_exact,True
