carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,plateau_capacity_mAh_g
800.0,0.374,1.56,678.0,0,50.0,0.0
900.0,0.368,1.33,103.3,1,20.0,0.0
800.0,0.371,2.86,50.94,0,100.0,0.0
1000.0,0.372,3.38,20.6,0,20.0,69.37
1200.0,0.367,2.61,415.8,0,20.0,80.0
1100.0,0.389,2.064,338.0,0,20.0,125.79
1100.0,0.385,2.194,328.0,0,20.0,139.37
1000.0,0.377,1.851851852,93.25,0,20.0,115.43
1200.0,0.376,1.694915254,54.04,0,20.0,147.29
1400.0,0.371,1.449275362,17.34,0,20.0,203.21
1600.0,0.37,1.204819277,11.99,0,20.0,201.4
1300.0,0.38,1.17,285.8,0,25.0,176.47
1300.0,0.372,1.05,6.9,0,25.0,150.33
1300.0,0.378,1.03,2.9,0,25.0,138.56
1100.0,0.39,1.07,122.5,0,100.0,0.0
1200.0,0.392,1.22,158.0,0,33.0,163.38
700.0,0.351,1.62,5.75,0,30.0,0.0
1100.0,0.38,1.51,316.0,0,100.0,112.57
1100.0,0.37,1.34,296.0,0,100.0,72.79
1000.0,0.386,2.22,74.7,0,100.0,67.64
800.0,0.38,1.03,188.0,0,100.0,0.0
800.0,0.41,1.1,478.0,0,100.0,0.0
1050.0,0.366,1.11,154.0,1,50.0,0.0
1050.0,0.365,1.14,162.0,1,50.0,0.0
900.0,0.373,2.64,3.297,0,30.0,76.5
1100.0,0.374,2.19,9.521,0,30.0,180.9
1300.0,0.37,1.98,24.017,0,30.0,174.87
1500.0,0.366,1.58,11.577,0,30.0,200.5
1700.0,0.363,1.45,9.609,0,30.0,214.07
1900.0,0.358,1.31,11.254,0,30.0,212.56
800.0,0.359,1.74,5.0,0,20.0,0.0
1200.0,0.39,1.63,10.055,0,30.0,98.77
1400.0,0.38,1.71,9.162,0,30.0,120.9
1300.0,0.3978,2.3253,563.52,0,25.0,135.22
1500.0,0.3891,2.0068,450.23,0,25.0,124.91
700.0,0.3786,2.13,307.2,0,20.0,0.0
700.0,0.3941,2.7,602.1,0,20.0,0.0
1100.0,0.373,2.285,35.741,0,25.0,93.01
1100.0,0.374,2.296,47.019,0,25.0,113.15
1100.0,0.379,2.827,88.864,0,25.0,146.34
1100.0,0.38,2.553,355.024,0,25.0,129.58
1200.0,0.4028,1.28,11.33,0,50.0,120.69
1200.0,0.3812,1.33,12.73,0,50.0,90.64
1300.0,0.375,1.077,6.78,0,25.0,241.11
1300.0,0.366,1.024,5.34,0,25.0,193.75
1300.0,0.356,1.002,4.74,0,25.0,172.22
1000.0,0.38,3.05,56.0,0,20.0,73.46
1200.0,0.379,2.96,31.0,0,20.0,108.46
1400.0,0.374,2.43,11.0,0,20.0,125.77
1600.0,0.369,2.16,5.0,0,20.0,138.08
1300.0,0.374,1.59,20.74,0,50.0,116.91
1000.0,0.374,1.54,11.8,0,25.0,80.0
1300.0,0.368,1.41,12.6,0,25.0,182.9
1600.0,0.361,0.78,11.2,0,25.0,202.8
1000.0,0.375,1.79,13.2,0,25.0,93.0
1300.0,0.37,1.14,16.3,0,25.0,190.8
1600.0,0.361,0.78,14.6,0,25.0,210.6
1100.0,0.385,1.051,32.7,0,100.0,91.15
1100.0,0.389,1.047,8.8,0,100.0,98.65
1100.0,0.378,1.084,16.3,0,100.0,105.44
1100.0,0.387,1.05,9.4,0,100.0,149.32
1200.0,0.394,1.16,38.3,0,100.0,175.0
1000.0,0.375,1.15,11.0,0,30.0,88.38
1300.0,0.368,1.32,4.0,0,30.0,134.97
1300.0,0.408,1.016,25.58,0,100.0,144.4
1300.0,0.383,1.9,103.0,0,25.0,179.75
600.0,0.362,0.42,8.67,0,100.0,0.0
600.0,0.398,0.75,262.0,0,50.0,0.0
800.0,0.369,0.89,586.0,0,50.0,0.0
1050.0,0.366,1.07,78.0,1,50.0,0.0
1050.0,0.365,1.1,233.0,1,50.0,0.0
1050.0,0.36,1.24,783.0,1,50.0,0.0
750.0,0.381,1.33,8.0,0,30.0,53.23
